customer_key,customer_id,segment,region
1,C0001,consumer,south
2,C0002,business,north
3,C0003,business,north
4,C0004,business,central
5,C0005,consumer,east
6,C0006,consumer,central
7,C0007,consumer,central
8,C0008,consumer,central
9,C0009,consumer,west
10,C0010,consumer,east
11,C0011,consumer,north
12,C0012,consumer,west
13,C0013,consumer,central
14,C0014,consumer,south
15,C0015,consumer,north
16,C0016,consumer,east
17,C0017,business,east
18,C0018,consumer,central
19,C0019,consumer,east
20,C0020,wholesale,west
21,C0021,consumer,west
22,C0022,business,east
23,C0023,consumer,west
24,C0024,business,north
25,C0025,consumer,west
26,C0026,business,west
27,C0027,consumer,south
28,C0028,business,west
29,C0029,consumer,west
30,C0030,business,east
31,C0031,consumer,south
32,C0032,consumer,north
33,C0033,consumer,north
34,C0034,consumer,north
35,C0035,consumer,west
36,C0036,consumer,south
37,C0037,business,north
38,C0038,business,north
39,C0039,business,central
40,C0040,consumer,east
