month,subscription_key,customer_key,product_key,status,mrr_cents,churned_in_month
2026-01-01,1001,1,3,active,3749,false
2026-01-01,1002,1,6,active,1249,false
2026-01-01,1003,2,3,active,3374,false
2026-01-01,1004,2,4,active,2999,false
2026-01-01,1005,3,4,active,3333,false
2026-01-01,1006,3,1,active,1666,false
2026-01-01,1007,4,3,active,3749,false
2026-01-01,1008,4,5,active,4499,false
2026-01-01,1009,5,2,active,2249,false
2026-01-01,1010,5,2,active,2249,false
2026-01-01,1011,6,4,active,2999,false
2026-01-01,1012,6,4,active,2999,false
2026-01-01,1013,7,3,active,3749,false
2026-01-01,1014,7,4,active,3333,false
2026-01-01,1015,8,2,active,2499,false
2026-01-01,1016,8,7,active,5833,false
2026-01-01,1017,9,3,active,3749,false
2026-01-01,1018,9,6,active,1249,false
2026-01-01,1019,10,4,active,3166,false
2026-01-01,1020,11,6,active,1124,false
2026-01-01,1021,12,1,active,1666,false
2026-01-01,1022,13,3,active,3749,false
2026-01-01,1023,13,7,active,5833,false
2026-01-01,1024,14,3,active,3374,false
2026-01-01,1025,15,3,active,3562,false
2026-01-01,1026,15,5,active,4999,false
2026-01-01,1027,16,2,active,2249,false
2026-01-01,1028,17,8,active,8333,false
2026-01-01,1029,17,1,active,1666,false
2026-01-01,1030,17,5,active,4999,false
2026-01-01,1031,18,8,active,7499,false
2026-01-01,1032,19,7,active,5541,false
2026-01-01,1033,19,1,active,1583,false
2026-01-01,1034,20,5,active,4999,false
2026-01-01,1035,20,2,active,2374,false
2026-01-01,1036,21,5,active,4499,false
2026-01-01,1037,22,7,active,5833,false
2026-01-01,1038,22,6,active,1187,false
2026-01-01,1039,22,1,active,1583,false
2026-01-01,1040,23,7,active,5541,false
2026-01-01,1041,23,5,active,4999,false
2026-01-01,1042,24,3,active,3562,false
2026-01-01,1043,24,6,active,1249,false
2026-01-01,1044,24,5,active,4999,false
2026-01-01,1045,25,2,active,2499,false
2026-01-01,1046,26,4,active,2999,false
2026-01-01,1047,26,4,active,3166,false
2026-01-01,1048,26,8,active,7916,false
2026-01-01,1049,27,5,active,4499,false
2026-01-01,1050,28,1,active,1583,false
