usage_date,subscription_key,data_gb,voice_min
2026-06-01,1001,2.47,18.7
2026-06-01,1002,2.21,0
2026-06-01,1003,1.77,30.5
2026-06-01,1004,7.4,0
2026-06-01,1005,22.74,0
2026-06-01,1006,2.09,5.2
2026-06-01,1007,1.25,8.5
2026-06-01,1008,5.55,0
2026-06-01,1011,15.52,0
2026-06-01,1012,16.24,0
2026-06-01,1013,2.35,34.5
2026-06-01,1014,5.43,0
2026-06-01,1015,1.67,7.5
2026-06-01,1016,3.82,43
2026-06-01,1017,0.4,34.6
2026-06-01,1018,1.38,0
2026-06-01,1019,26.39,0
2026-06-01,1021,2.01,24.1
2026-06-01,1022,0.81,32.2
2026-06-01,1023,8.9,19.1
2026-06-01,1024,0.61,5.8
2026-06-01,1025,2.61,21.5
2026-06-01,1026,7.54,0
2026-06-01,1027,1.59,38.6
2026-06-01,1031,13.26,32.5
2026-06-01,1032,5.01,11.5
2026-06-01,1033,1.97,40.6
2026-06-01,1034,4.51,0
2026-06-01,1035,2.42,12.8
2026-06-01,1036,20.4,0
2026-06-01,1037,8.44,12.5
2026-06-01,1038,2.44,0
2026-06-01,1039,1.19,19.1
2026-06-01,1042,2.42,29.4
2026-06-01,1043,0.72,0
2026-06-01,1044,16.49,0
2026-06-01,1045,0.79,9.3
2026-06-01,1046,12.95,0
2026-06-01,1047,12.63,0
2026-06-01,1048,11.08,41.9
2026-06-01,1049,9.25,0
2026-06-01,1050,0.78,7
2026-06-01,1051,2.5,12.2
2026-06-01,1052,2.04,44.9
2026-06-01,1054,0.93,0
2026-06-01,1055,14.31,0
2026-06-01,1056,12.2,0
2026-06-01,1057,19.57,0
2026-06-01,1060,28.06,0
2026-06-01,1061,28.39,0
2026-06-01,1062,1.14,42.1
2026-06-01,1063,13.59,0
2026-06-01,1064,1.27,15.5
2026-06-01,1065,1.64,28.9
2026-06-01,1067,1.93,0
2026-06-01,1068,1.68,33.2
2026-06-01,1069,8.15,40.5
2026-06-01,1070,6.03,0
2026-06-02,1001,2.62,17.3
2026-06-02,1002,0.73,0
2026-06-02,1003,0.68,24.4
2026-06-02,1004,10.66,0
2026-06-02,1005,5.76,0
2026-06-02,1006,1.36,6
2026-06-02,1007,0.58,27.4
2026-06-02,1008,24.13,0
2026-06-02,1011,14.99,0
2026-06-02,1012,24.27,0
2026-06-02,1013,2.68,35.7
2026-06-02,1014,16.03,0
2026-06-02,1015,1,13.5
2026-06-02,1016,2.95,20.3
2026-06-02,1017,0.8,37.2
2026-06-02,1018,1.77,0
2026-06-02,1019,4.07,0
2026-06-02,1021,2.56,26.6
2026-06-02,1022,0.62,37.9
2026-06-02,1023,11.23,39.4
2026-06-02,1024,0.38,19.4
2026-06-02,1025,1.58,25.7
2026-06-02,1026,26.84,0
2026-06-02,1027,2.32,10.6
2026-06-02,1031,8.1,16.9
2026-06-02,1032,11.96,21.1
2026-06-02,1033,1.2,23.4
2026-06-02,1034,16.69,0
2026-06-02,1035,1.21,29.8
2026-06-02,1036,23.61,0
2026-06-02,1037,6.09,11.7
2026-06-02,1038,1.73,0
2026-06-02,1039,1.1,5.9
2026-06-02,1042,0.78,28.5
2026-06-02,1043,2.44,0
2026-06-02,1044,21.93,0
2026-06-02,1045,1.53,6.6
2026-06-02,1046,23.87,0
2026-06-02,1047,16.91,0
2026-06-02,1048,9.3,5.4
2026-06-02,1049,19.37,0
2026-06-02,1050,1.6,34.3
2026-06-02,1051,0.52,0.2
2026-06-02,1052,2,41.5
2026-06-02,1054,1.07,0
2026-06-02,1055,20.28,0
2026-06-02,1056,14.93,0
2026-06-02,1057,15.62,0
2026-06-02,1060,26.76,0
2026-06-02,1061,19.58,0
2026-06-02,1062,1.21,24.3
2026-06-02,1063,11.9,0
2026-06-02,1064,2.74,2.5
2026-06-02,1065,2.66,8.7
2026-06-02,1067,1.21,0
2026-06-02,1068,0.97,24.3
2026-06-02,1069,3.67,2.2
2026-06-02,1070,12.71,0
2026-06-03,1001,2.67,23.9
2026-06-03,1002,1.59,0
2026-06-03,1003,1.31,21.8
2026-06-03,1004,7.93,0
2026-06-03,1005,19.26,0
2026-06-03,1006,1.19,41.5
2026-06-03,1007,2.59,13.3
2026-06-03,1008,18.5,0
2026-06-03,1011,24.22,0
2026-06-03,1012,22.85,0
2026-06-03,1013,2.45,33.2
2026-06-03,1014,24.14,0
2026-06-03,1015,1.22,32.2
2026-06-03,1016,11.61,7.5
2026-06-03,1017,1.25,34.3
2026-06-03,1018,1.62,0
2026-06-03,1019,7.31,0
2026-06-03,1021,1.23,21.3
2026-06-03,1022,2.1,27.4
2026-06-03,1023,3.05,35.8
2026-06-03,1024,1.24,1.4
2026-06-03,1025,1.3,1.7
2026-06-03,1026,11.05,0
2026-06-03,1027,1.36,14.2
2026-06-03,1031,3.08,17
2026-06-03,1032,9.52,4
2026-06-03,1033,1.15,28.9
2026-06-03,1034,8.23,0
2026-06-03,1035,2.06,16.2
2026-06-03,1036,27.61,0
2026-06-03,1037,2.18,21.7
2026-06-03,1038,1.66,0
2026-06-03,1039,2.74,29.7
2026-06-03,1042,2.01,33.9
2026-06-03,1043,1.01,0
2026-06-03,1044,22.25,0
2026-06-03,1045,0.39,31.7
2026-06-03,1046,13.7,0
2026-06-03,1047,22.45,0
2026-06-03,1048,5.11,41.8
2026-06-03,1049,8.5,0
2026-06-03,1050,2.07,28.6
2026-06-03,1051,0.74,37.8
2026-06-03,1052,2.01,9
2026-06-03,1054,1.08,0
2026-06-03,1055,17.4,0
2026-06-03,1056,15.72,0
2026-06-03,1057,25.3,0
2026-06-03,1060,21.3,0
2026-06-03,1061,10.97,0
2026-06-03,1062,1.3,28.4
2026-06-03,1063,16.68,0
2026-06-03,1064,1.41,5
2026-06-03,1065,2.18,25.5
2026-06-03,1067,0.61,0
2026-06-03,1068,1.24,34.4
2026-06-03,1069,7.22,10.1
2026-06-03,1070,24.89,0
2026-06-04,1001,1.74,31.3
2026-06-04,1002,0.55,0
2026-06-04,1003,1.88,39.7
2026-06-04,1004,25.12,0
2026-06-04,1005,17.32,0
2026-06-04,1006,2.68,0.2
2026-06-04,1007,0.46,35.8
2026-06-04,1008,21.46,0
2026-06-04,1011,13.3,0
2026-06-04,1012,7.95,0
2026-06-04,1013,0.61,37.3
2026-06-04,1014,20.86,0
2026-06-04,1015,2.45,29.2
2026-06-04,1016,8.49,30.3
2026-06-04,1017,2.04,40.4
2026-06-04,1018,0.78,0
2026-06-04,1019,12.2,0
2026-06-04,1021,1.21,23.2
2026-06-04,1022,1.56,2.6
2026-06-04,1023,12.81,26.4
2026-06-04,1024,2.19,31.4
2026-06-04,1025,0.95,30.1
2026-06-04,1026,11.63,0
2026-06-04,1027,1.85,38.5
2026-06-04,1031,8.97,40.6
2026-06-04,1032,9.23,8.3
2026-06-04,1033,0.64,36.2
2026-06-04,1034,15.72,0
2026-06-04,1035,2.44,32.3
2026-06-04,1036,21.93,0
2026-06-04,1037,8.84,28.3
2026-06-04,1038,1.28,0
2026-06-04,1039,2.19,30.9
2026-06-04,1042,0.74,37.9
2026-06-04,1043,2.19,0
2026-06-04,1044,14.32,0
2026-06-04,1045,0.45,26.2
2026-06-04,1046,17.15,0
2026-06-04,1047,6.1,0
2026-06-04,1048,9.62,12.4
2026-06-04,1049,17.94,0
2026-06-04,1050,1.91,28.4
2026-06-04,1051,0.97,40.6
2026-06-04,1052,2.07,4.2
2026-06-04,1054,0.78,0
2026-06-04,1055,18.01,0
2026-06-04,1056,20.61,0
2026-06-04,1057,12.16,0
2026-06-04,1060,17.36,0
2026-06-04,1061,25.51,0
2026-06-04,1062,0.56,2.7
2026-06-04,1063,24.1,0
2026-06-04,1064,0.34,30
2026-06-04,1065,1.84,16.9
2026-06-04,1067,1.84,0
2026-06-04,1068,0.36,11.1
2026-06-04,1069,13.18,10.8
2026-06-04,1070,19.04,0
2026-06-05,1001,1.24,41.1
2026-06-05,1002,1.88,0
2026-06-05,1003,2.02,30.5
2026-06-05,1004,23.52,0
2026-06-05,1005,19.54,0
2026-06-05,1006,1.79,39.8
2026-06-05,1007,1.98,3
2026-06-05,1008,28.23,0
2026-06-05,1011,17.52,0
2026-06-05,1012,13.33,0
2026-06-05,1013,2.43,27.8
2026-06-05,1014,20.68,0
2026-06-05,1015,0.3,21.4
2026-06-05,1016,13.95,40.5
2026-06-05,1017,1.43,12.2
2026-06-05,1018,1.68,0
2026-06-05,1019,22.51,0
2026-06-05,1021,1.88,21
2026-06-05,1022,1.95,20.9
2026-06-05,1023,9.45,16
2026-06-05,1024,0.49,33.7
2026-06-05,1025,0.54,7.2
2026-06-05,1026,18.76,0
2026-06-05,1027,2.72,20.7
2026-06-05,1031,5.13,41.7
2026-06-05,1032,5.21,40.9
2026-06-05,1033,1.64,28.2
2026-06-05,1034,10.11,0
2026-06-05,1035,2.22,39.1
2026-06-05,1036,24.2,0
2026-06-05,1037,11.3,36
2026-06-05,1038,1.08,0
2026-06-05,1039,2.02,31
2026-06-05,1042,2.74,26.7
2026-06-05,1043,1.59,0
2026-06-05,1044,8.65,0
2026-06-05,1045,0.93,42.9
2026-06-05,1046,4.25,0
2026-06-05,1047,5.8,0
2026-06-05,1048,7.07,36.6
2026-06-05,1049,23.32,0
2026-06-05,1050,0.61,35.1
2026-06-05,1051,0.47,34.2
2026-06-05,1052,0.88,30.5
2026-06-05,1054,0.84,0
2026-06-05,1055,14.79,0
2026-06-05,1056,9.81,0
2026-06-05,1057,4.26,0
2026-06-05,1060,25.97,0
2026-06-05,1061,11.13,0
2026-06-05,1062,2.5,11.2
2026-06-05,1063,12.93,0
2026-06-05,1064,2.1,8.9
2026-06-05,1065,1.05,42.5
2026-06-05,1067,2.5,0
2026-06-05,1068,1.52,17.7
2026-06-05,1069,11.17,43
2026-06-05,1070,18.14,0
2026-06-06,1001,2.68,34.3
2026-06-06,1002,0.77,0
2026-06-06,1003,0.74,36.1
2026-06-06,1004,11.89,0
2026-06-06,1005,21.21,0
2026-06-06,1006,1.04,28.7
2026-06-06,1007,1.84,40.3
2026-06-06,1008,6.48,0
2026-06-06,1011,26.86,0
2026-06-06,1012,18.63,0
2026-06-06,1013,1.87,42.4
2026-06-06,1014,19.38,0
2026-06-06,1015,2.74,3.6
2026-06-06,1016,3.54,42.1
2026-06-06,1017,2.48,2.9
2026-06-06,1018,0.84,0
2026-06-06,1019,21.91,0
2026-06-06,1021,1.97,36.2
2026-06-06,1022,1.14,31.6
2026-06-06,1023,3.77,11.9
2026-06-06,1024,1.33,28.8
2026-06-06,1025,1.53,23.2
2026-06-06,1026,18.92,0
2026-06-06,1027,2.41,29.4
2026-06-06,1031,5.07,3
2026-06-06,1032,8.9,40.8
2026-06-06,1033,2.54,40.6
2026-06-06,1034,6.5,0
2026-06-06,1035,2.17,10.2
2026-06-06,1036,13.39,0
2026-06-06,1037,12.39,14.1
2026-06-06,1038,2.24,0
2026-06-06,1039,1.19,23.6
2026-06-06,1042,1.88,41.3
2026-06-06,1043,0.58,0
2026-06-06,1044,18.69,0
2026-06-06,1045,1.7,9.2
2026-06-06,1046,15.68,0
2026-06-06,1047,10.08,0
2026-06-06,1048,11.4,18.7
2026-06-06,1049,5.6,0
2026-06-06,1050,1.72,8.5
2026-06-06,1051,0.76,34.1
2026-06-06,1052,2.1,7.2
2026-06-06,1054,2.47,0
2026-06-06,1055,26.01,0
2026-06-06,1056,5.88,0
2026-06-06,1057,4.88,0
2026-06-06,1060,15.83,0
2026-06-06,1061,18.79,0
2026-06-06,1062,2.77,7.1
2026-06-06,1063,28.71,0
2026-06-06,1064,2.77,31.7
2026-06-06,1065,0.9,35.4
2026-06-06,1067,1.1,0
2026-06-06,1068,2.77,26
2026-06-06,1069,12.44,15.5
2026-06-06,1070,12.06,0
2026-06-07,1001,1.59,25.9
2026-06-07,1002,0.56,0
2026-06-07,1003,2.11,6.1
2026-06-07,1004,9.89,0
2026-06-07,1005,6.43,0
2026-06-07,1006,2.5,26.4
2026-06-07,1007,1.52,31
2026-06-07,1008,8.7,0
2026-06-07,1011,11.69,0
2026-06-07,1012,20.76,0
2026-06-07,1013,1.43,7.9
2026-06-07,1014,28.89,0
2026-06-07,1015,1.66,11.1
2026-06-07,1016,9.18,14.5
2026-06-07,1017,1.09,9.4
2026-06-07,1018,1.44,0
2026-06-07,1019,7.46,0
2026-06-07,1021,1.74,9.5
2026-06-07,1022,2.78,27.2
2026-06-07,1023,10.43,18.5
2026-06-07,1024,2.6,36.7
2026-06-07,1025,2.26,37.4
2026-06-07,1026,15.6,0
2026-06-07,1027,2.24,34.9
2026-06-07,1031,4.87,1.7
2026-06-07,1032,6.59,2.2
2026-06-07,1033,1.18,0.3
2026-06-07,1034,27.17,0
2026-06-07,1035,2.43,25.7
2026-06-07,1036,17.78,0
2026-06-07,1037,3.26,12
2026-06-07,1038,0.71,0
2026-06-07,1039,1.3,23.1
2026-06-07,1042,1.28,34.8
2026-06-07,1043,0.56,0
2026-06-07,1044,25.22,0
